AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
40%,Football Championships Women 2019,Japan,13%,47%,15,75,https://www.betexplorer.com/soccer/japan/football-championships-women/stats/
,,,,,,,
37%,Premier League 2019,Kazakhstan,5%,58%,19,113,https://www.betexplorer.com/soccer/kazakhstan/premier-league/stats/
,,,,,,,
19%,Jordan Cup 2018/2019,Jordan,19%,62%,26,0,https://www.betexplorer.com/soccer/jordan/jordan-cup/stats/
,,,,,,,
0%,Super Cup 2019,Japan,0%,100%,1,0,https://www.betexplorer.com/soccer/japan/super-cup/stats/
,,,,,,,
33%,Premier League 2018/2019,Jordan,24%,44%,101,31,https://www.betexplorer.com/soccer/jordan/premier-league/stats/
,,,,,,,
13%,YBC Levain Cup 2019,Japan,25%,63%,16,32,https://www.betexplorer.com/soccer/japan/ybc-levain-cup/stats/
,,,,,,,
44%,J-League 2019,Japan,24%,31%,45,261,https://www.betexplorer.com/soccer/japan/j-league/stats/
,,,,,,,
36%,J-League Division 2 2019,Japan,22%,42%,77,385,https://www.betexplorer.com/soccer/japan/j-league-division-2/stats/
,,,,,,,
17%,FA Cup 2018/2019,Hong Kong,33%,50%,6,2,https://www.betexplorer.com/soccer/hong-kong/fa-cup/stats/
,,,,,,,
22%,Senior Shield 2018/2019,Hong Kong,11%,67%,9,0,https://www.betexplorer.com/soccer/hong-kong/senior-shield/stats/
,,,,,,,
30%,Premier League 2018/2019,Hong Kong,27%,44%,71,19,https://www.betexplorer.com/soccer/hong-kong/premier-league/stats/
,,,,,,,
29%,Liga Nacional 2018/2019,Honduras,31%,40%,65,25,https://www.betexplorer.com/soccer/honduras/liga-nacional/stats/
,,,,,,,
17%,Liga Nacional 2018/2019,Guatemala,26%,57%,85,47,https://www.betexplorer.com/soccer/guatemala/liga-nacional/stats/
,,,,,,,
18%,Championnat National 2019,Haiti,36%,45%,47,9,https://www.betexplorer.com/soccer/haiti/championnat-national/stats/
,,,,,,,
27%,Ligue 1 2018/2019,Guinea,36%,37%,106,3,https://www.betexplorer.com/soccer/guinea/ligue-1/stats/
,,,,,,,
100%,Super Cup 2019,Georgia,0%,0%,1,0,https://www.betexplorer.com/soccer/georgia/super-cup/stats/
,,,,,,,
17%,Greek Cup 2018/2019,Greece,25%,58%,24,4,https://www.betexplorer.com/soccer/greece/greek-cup/stats/
,,,,,,,
25%,Telekom Cup - winter 2019,Germany,50%,25%,4,0,https://www.betexplorer.com/soccer/germany/telekom-cup-winter/stats/
,,,,,,,
12%,Premier League 2018,Ghana,26%,62%,117,3,https://www.betexplorer.com/soccer/ghana/premier-league/stats/
,,,,,,,
62%,Gibraltar Cup 2019,Gibraltar,8%,31%,13,2,https://www.betexplorer.com/soccer/gibraltar/gibraltar-cup/stats/
,,,,,,,
50%,Coupe de France Women 2018/2019,France,14%,36%,14,1,https://www.betexplorer.com/soccer/france/coupe-de-france-women/stats/
,,,,,,,
34%,Division 1 Women 2018/2019,France,20%,46%,114,18,https://www.betexplorer.com/soccer/france/division-1-women/stats/
,,,,,,,
29%,Division C 2018/2019,Greece,26%,45%,1227,101,https://www.betexplorer.com/soccer/greece/division-c/stats/
,,,,,,,
33%,Liiga Women 2019,Finland,33%,33%,6,84,https://www.betexplorer.com/soccer/finland/liiga-women/stats/
,,,,,,,
75%,Suomen Cup 2019,Finland,25%,0%,12,0,https://www.betexplorer.com/soccer/finland/suomen-cup/stats/
,,,,,,,
20%,Euro U21 2021,Europe,20%,60%,5,255,https://www.betexplorer.com/soccer/europe/euro-u21-2021/stats/
,,,,,,,
0%,Kakkonen Group C 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/kakkonen-group-c/stats/
,,,,,,,
0%,Kakkonen Group B 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/kakkonen-group-b/stats/
,,,,,,,
0%,Kakkonen Group A 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/kakkonen-group-a/stats/
,,,,,,,
0%,Super Cup 2019,Faroe Islands,0%,100%,1,0,https://www.betexplorer.com/soccer/faroe-islands/super-cup/stats/
,,,,,,,
0%,Ykkonen 2019,Finland,0%,0%,0,135,https://www.betexplorer.com/soccer/finland/ykkonen/stats/
,,,,,,,
0%,Veikkausliiga 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/veikkausliiga/stats/
,,,,,,,
0%,Faroe Islands Cup 2019,Faroe Islands,0%,0%,0,8,https://www.betexplorer.com/soccer/faroe-islands/faroe-islands-cup/stats/
,,,,,,,
30%,Coupe de la Ligue 2018/2019,France,33%,37%,43,0,https://www.betexplorer.com/soccer/france/coupe-de-la-ligue/stats/
,,,,,,,
13%,Premier League 2019,Faroe Islands,27%,60%,15,120,https://www.betexplorer.com/soccer/faroe-islands/premier-league/stats/
,,,,,,,
26%,National 2 - Group D 2018/2019,France,32%,42%,183,57,https://www.betexplorer.com/soccer/france/national-2-group-d/stats/
,,,,,,,
23%,National 2 - Group C 2018/2019,France,31%,46%,184,56,https://www.betexplorer.com/soccer/france/national-2-group-c/stats/
,,,,,,,
42%,Coupe de France 2018/2019,France,24%,34%,193,1,https://www.betexplorer.com/soccer/france/coupe-de-france/stats/
,,,,,,,
24%,National 2 - Group B 2018/2019,France,30%,46%,184,56,https://www.betexplorer.com/soccer/france/national-2-group-b/stats/
,,,,,,,
30%,National 2 - Group A 2018/2019,France,26%,45%,183,57,https://www.betexplorer.com/soccer/france/national-2-group-a/stats/
,,,,,,,
27%,National 2018/2019,France,31%,42%,251,55,https://www.betexplorer.com/soccer/france/national/stats/
,,,,,,,
31%,Ligue 2 2018/2019,France,29%,40%,300,80,https://www.betexplorer.com/soccer/france/ligue-2/stats/
,,,,,,,
29%,Ligue 1 2018/2019,France,29%,42%,296,84,https://www.betexplorer.com/soccer/france/ligue-1/stats/
,,,,,,,
23%,Championnat D1 2019,Gabon,31%,46%,35,25,https://www.betexplorer.com/soccer/gabon/championnat-d1/stats/
,,,,,,,
25%,GFA League 2018/2019,Gambia,48%,27%,116,8,https://www.betexplorer.com/soccer/gambia/gfa-league/stats/
,,,,,,,
0%,Georgian Cup 2019,Georgia,0%,0%,0,16,https://www.betexplorer.com/soccer/georgia/georgian-cup/stats/
,,,,,,,
29%,Crystalbet Erovnuli Liga 2019,Georgia,25%,46%,28,152,https://www.betexplorer.com/soccer/georgia/crystalbet-erovnuli-liga/stats/
,,,,,,,
28%,Football League 2018/2019,Greece,25%,47%,200,35,https://www.betexplorer.com/soccer/greece/football-league/stats/
,,,,,,,
26%,Super League 2018/2019,Greece,24%,50%,208,32,https://www.betexplorer.com/soccer/greece/super-league/stats/
,,,,,,,
0%,Super Cup 2019,Estonia,0%,100%,1,0,https://www.betexplorer.com/soccer/estonia/super-cup/stats/
,,,,,,,
53%,Meistriliiga 2019,Estonia,18%,29%,17,163,https://www.betexplorer.com/soccer/estonia/meistriliiga/stats/
,,,,,,,
27%,Esiliiga 2019,Estonia,7%,67%,15,165,https://www.betexplorer.com/soccer/estonia/esiliiga/stats/
,,,,,,,
14%,Women's League Cup 2018/2019,England,14%,71%,7,0,https://www.betexplorer.com/soccer/england/women-s-league-cup/stats/
,,,,,,,
29%,Primera Division 2018/2019,El Salvador,30%,42%,78,54,https://www.betexplorer.com/soccer/el-salvador/primera-division/stats/
,,,,,,,
45%,Women’s FA Cup 2018/2019,England,12%,42%,74,2,https://www.betexplorer.com/soccer/england/women-s-fa-cup/stats/
,,,,,,,
50%,C-League 2019,Cambodia,14%,36%,14,70,https://www.betexplorer.com/soccer/cambodia/c-league/stats/
,,,,,,,
30%,Premier League 2018/2019,Botswana,27%,43%,191,9,https://www.betexplorer.com/soccer/botswana/premier-league/stats/
,,,,,,,
41%,Women’s Championship 2018/2019,England,11%,48%,92,18,https://www.betexplorer.com/soccer/england/women-s-championship/stats/
,,,,,,,
33%,Ligue A 2018/2019,Burundi,27%,41%,224,16,https://www.betexplorer.com/soccer/burundi/ligue-a/stats/
,,,,,,,
52%,Bulgarian Cup 2018/2019,Bulgaria,28%,20%,25,3,https://www.betexplorer.com/soccer/bulgaria/bulgarian-cup/stats/
,,,,,,,
39%,Brasileiro Women 2019,Brazil,13%,48%,23,97,https://www.betexplorer.com/soccer/brazil/brasileiro-women/stats/
,,,,,,,
33%,Premier League 2018/2019,Burkina Faso,32%,35%,181,59,https://www.betexplorer.com/soccer/burkina-faso/premier-league/stats/
,,,,,,,
28%,Vtora liga 2018/2019,Bulgaria,25%,47%,176,64,https://www.betexplorer.com/soccer/bulgaria/vtora-liga/stats/
,,,,,,,
30%,Parva Liga 2018/2019,Bulgaria,18%,52%,182,0,https://www.betexplorer.com/soccer/bulgaria/parva-liga/stats/
,,,,,,,
43%,Women’s Super League 2018/2019,England,16%,41%,93,17,https://www.betexplorer.com/soccer/england/women-s-super-league/stats/
,,,,,,,
27%,Copa Sao Paulo de juniores 2019,Brazil,30%,43%,63,0,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/stats/
,,,,,,,
0%,Copa do Nordeste 2019,Brazil,0%,0%,0,4,https://www.betexplorer.com/soccer/brazil/copa-do-nordeste/stats/
,,,,,,,
50%,Copa do Brasil U20 2019,Brazil,13%,38%,24,8,https://www.betexplorer.com/soccer/brazil/copa-do-brasil-u20/stats/
,,,,,,,
35%,Copa do Brasil 2019,Brazil,35%,30%,65,14,https://www.betexplorer.com/soccer/brazil/copa-do-brasil/stats/
,,,,,,,
13%,Campeonato Sul-Matogrossense 2019,Brazil,25%,63%,8,4,https://www.betexplorer.com/soccer/brazil/campeonato-sul-matogrossense/stats/
,,,,,,,
9%,Campeonato Sergipano 2019,Brazil,55%,36%,11,4,https://www.betexplorer.com/soccer/brazil/campeonato-sergipano/stats/
,,,,,,,
23%,Campeonato Paranaense 2019,Brazil,20%,57%,30,0,https://www.betexplorer.com/soccer/brazil/campeonato-paranaense/stats/
,,,,,,,
0%,Campeonato Paraense 2019,Brazil,0%,0%,0,4,https://www.betexplorer.com/soccer/brazil/campeonato-paraense/stats/
,,,,,,,
0%,Campeonato Piauiense 2019,Brazil,0%,0%,0,4,https://www.betexplorer.com/soccer/brazil/campeonato-piauiense/stats/
,,,,,,,
42%,Campeonato Potiguar 2019,Brazil,13%,46%,24,4,https://www.betexplorer.com/soccer/brazil/campeonato-potiguar/stats/
,,,,,,,
40%,Campeonato Matogrossense 2019,Brazil,30%,30%,10,2,https://www.betexplorer.com/soccer/brazil/campeonato-matogrossense/stats/
,,,,,,,
10%,Campeonato Paulista 2019,Brazil,50%,40%,10,2,https://www.betexplorer.com/soccer/brazil/campeonato-paulista/stats/
,,,,,,,
0%,Campeonato Paraibano 2019,Brazil,100%,0%,1,3,https://www.betexplorer.com/soccer/brazil/campeonato-paraibano/stats/
,,,,,,,
17%,Campeonato Mineiro 2019,Brazil,33%,50%,6,2,https://www.betexplorer.com/soccer/brazil/campeonato-mineiro/stats/
,,,,,,,
0%,Campeonato Maranhense 2019,Brazil,100%,0%,1,3,https://www.betexplorer.com/soccer/brazil/campeonato-maranhense/stats/
,,,,,,,
0%,Campeonato Pernambucano 2019,Brazil,25%,75%,4,2,https://www.betexplorer.com/soccer/brazil/campeonato-pernambucano/stats/
,,,,,,,
50%,Campeonato Goiano 2019,Brazil,20%,30%,10,2,https://www.betexplorer.com/soccer/brazil/campeonato-goiano/stats/
,,,,,,,
40%,Campeonato Gaucho 2019,Brazil,40%,20%,10,2,https://www.betexplorer.com/soccer/brazil/campeonato-gaucho/stats/
,,,,,,,
50%,Campeonato Cearense 2019,Brazil,50%,0%,2,2,https://www.betexplorer.com/soccer/brazil/campeonato-cearense/stats/
,,,,,,,
28%,Campeonato Catarinense 2019,Brazil,31%,41%,80,10,https://www.betexplorer.com/soccer/brazil/campeonato-catarinense/stats/
,,,,,,,
13%,Campeonato Capixaba 2019,Brazil,38%,50%,8,4,https://www.betexplorer.com/soccer/brazil/campeonato-capixaba/stats/
,,,,,,,
25%,Campeonato Baiano 2019,Brazil,25%,50%,4,2,https://www.betexplorer.com/soccer/brazil/campeonato-baiano/stats/
,,,,,,,
13%,Campeonato Brasiliense 2019,Brazil,50%,38%,8,4,https://www.betexplorer.com/soccer/brazil/campeonato-brasiliense/stats/
,,,,,,,
0%,Campeonato Carioca 2019,Brazil,0%,0%,0,2,https://www.betexplorer.com/soccer/brazil/campeonato-carioca/stats/
,,,,,,,
0%,Serie C 2019,Brazil,0%,0%,0,180,https://www.betexplorer.com/soccer/brazil/serie-c/stats/
,,,,,,,
0%,Serie A 2019,Brazil,0%,0%,0,380,https://www.betexplorer.com/soccer/brazil/serie-a/stats/
,,,,,,,
67%,Campeonato Alagoano 2019,Brazil,0%,33%,3,1,https://www.betexplorer.com/soccer/brazil/campeonato-alagoano/stats/
,,,,,,,
38%,Premier League U18 2018/2019,England,15%,47%,220,44,https://www.betexplorer.com/soccer/england/premier-league-u18/stats/
,,,,,,,
0%,Serie D 2019,Brazil,0%,0%,0,204,https://www.betexplorer.com/soccer/brazil/serie-d/stats/
,,,,,,,
37%,Premier League 2 2018/2019,England,24%,40%,227,37,https://www.betexplorer.com/soccer/england/premier-league-2/stats/
,,,,,,,
60%,Premier League International Cup 2018/2019,England,20%,20%,5,1,https://www.betexplorer.com/soccer/england/premier-league-international-cup/stats/
,,,,,,,
0%,Serie B 2019,Brazil,0%,0%,0,380,https://www.betexplorer.com/soccer/brazil/serie-b/stats/
,,,,,,,
27%,Premier League Cup 2018/2019,England,27%,45%,11,1,https://www.betexplorer.com/soccer/england/premier-league-cup/stats/
,,,,,,,
31%,FA Trophy 2018/2019,England,23%,47%,126,1,https://www.betexplorer.com/soccer/england/fa-trophy/stats/
,,,,,,,
36%,FA Cup 2018/2019,England,25%,39%,147,2,https://www.betexplorer.com/soccer/england/fa-cup/stats/
,,,,,,,
32%,EFL Trophy 2018/2019,England,29%,39%,31,0,https://www.betexplorer.com/soccer/england/efl-trophy/stats/
,,,,,,,
35%,EFL Cup 2018/2019,England,20%,44%,93,0,https://www.betexplorer.com/soccer/england/efl-cup/stats/
,,,,,,,
33%,Southern League South Division 2018/2019,England,21%,46%,406,56,https://www.betexplorer.com/soccer/england/southern-league-south-division/stats/
,,,,,,,
29%,Professional Development League 2018/2019,England,23%,48%,256,24,https://www.betexplorer.com/soccer/england/professional-development-league/stats/
,,,,,,,
36%,Isthmian League Premier Division 2018/2019,England,23%,41%,407,55,https://www.betexplorer.com/soccer/england/isthmian-league-premier-division/stats/
,,,,,,,
32%,National League South 2018/2019,England,24%,43%,407,55,https://www.betexplorer.com/soccer/england/national-league-south/stats/
,,,,,,,
34%,Southern League Central Division 2018/2019,England,25%,41%,407,55,https://www.betexplorer.com/soccer/england/southern-league-central-division/stats/
,,,,,,,
33%,National League 2018/2019,England,26%,41%,489,63,https://www.betexplorer.com/soccer/england/national-league/stats/
,,,,,,,
35%,NPL Premier Division 2018/2019,England,21%,43%,407,55,https://www.betexplorer.com/soccer/england/npl-premier-division/stats/
,,,,,,,
35%,National League North 2018/2019,England,27%,38%,402,60,https://www.betexplorer.com/soccer/england/national-league-north/stats/
,,,,,,,
30%,League Two 2018/2019,England,26%,44%,477,75,https://www.betexplorer.com/soccer/england/league-two/stats/
,,,,,,,
28%,Championship 2018/2019,England,29%,43%,466,86,https://www.betexplorer.com/soccer/england/championship/stats/
,,,,,,,
32%,League One 2018/2019,England,27%,41%,474,78,https://www.betexplorer.com/soccer/england/league-one/stats/
,,,,,,,
33%,Premier League 2018/2019,England,18%,49%,316,64,https://www.betexplorer.com/soccer/england/premier-league/stats/
,,,,,,,
24%,Elite One 2019,Cameroon,38%,38%,95,49,https://www.betexplorer.com/soccer/cameroon/elite-one/stats/
,,,,,,,
36%,MTN Premier League 2018/2019,Eswatini,28%,36%,152,2,https://www.betexplorer.com/soccer/eswatini/mtn-premier-league/stats/
,,,,,,,
22%,Premier League 2018/2019,Ethiopia,32%,46%,143,17,https://www.betexplorer.com/soccer/ethiopia/premier-league/stats/
,,,,,,,
25%,FBiH 2018/2019,Bosnia and Herzegovina,19%,56%,160,80,https://www.betexplorer.com/soccer/bosnia-and-herzegovina/fbih/stats/
,,,,,,,
36%,Bosnia and Herzegovina Cup 2018/2019,Bosnia and Herzegovina,30%,33%,33,2,https://www.betexplorer.com/soccer/bosnia-and-herzegovina/bosnia-and-herzegovina-cup/stats/
,,,,,,,
25%,RS 2018/2019,Bosnia and Herzegovina,24%,51%,120,12,https://www.betexplorer.com/soccer/bosnia-and-herzegovina/rs/stats/
,,,,,,,
41%,Premier League 2018/2019,Bermuda,21%,38%,85,5,https://www.betexplorer.com/soccer/bermuda/premier-league/stats/
,,,,,,,
19%,Division Profesional 2019,Bolivia,26%,55%,100,82,https://www.betexplorer.com/soccer/bolivia/division-profesional/stats/
,,,,,,,
0%,OFC Champions League 2019,Australia & Oceania,0%,0%,0,4,https://www.betexplorer.com/soccer/australia-oceania/ofc-champions-league/stats/
,,,,,,,
25%,Vysshaya Liga 2019,Belarus,25%,50%,8,232,https://www.betexplorer.com/soccer/belarus/vysshaya-liga/stats/
,,,,,,,
100%,Super Cup 2019,Belarus,0%,0%,1,0,https://www.betexplorer.com/soccer/belarus/super-cup/stats/
,,,,,,,
0%,Pershaya Liga 2019,Belarus,0%,0%,0,240,https://www.betexplorer.com/soccer/belarus/pershaya-liga/stats/
,,,,,,,
67%,Azerbaijan Cup 2018/2019,Azerbaijan,8%,25%,12,4,https://www.betexplorer.com/soccer/azerbaijan/azerbaijan-cup/stats/
,,,,,,,
37%,Premier League 2018/2019,Azerbaijan,27%,36%,88,24,https://www.betexplorer.com/soccer/azerbaijan/premier-league/stats/
,,,,,,,
67%,Bahrain Cup 2018/2019,Bahrain,0%,33%,3,0,https://www.betexplorer.com/soccer/bahrain/bahrain-cup/stats/
,,,,,,,
40%,Armenian Cup 2018/2019,Armenia,40%,20%,10,2,https://www.betexplorer.com/soccer/armenia/armenian-cup/stats/
,,,,,,,
24%,Premier League 2018/2019,Bosnia and Herzegovina,31%,44%,144,54,https://www.betexplorer.com/soccer/bosnia-and-herzegovina/premier-league/stats/
,,,,,,,
28%,Championnat National 2018/2019,Benin,29%,43%,169,1,https://www.betexplorer.com/soccer/benin/championnat-national/stats/
,,,,,,,
30%,Premier League 2019,Bangladesh,23%,47%,60,18,https://www.betexplorer.com/soccer/bangladesh/premier-league/stats/
,,,,,,,
46%,NPL Tasmania 2019,Australia,17%,38%,24,84,https://www.betexplorer.com/soccer/australia/npl-tasmania/stats/
,,,,,,,
67%,Brisbane Premier League 2019,Australia,0%,33%,21,111,https://www.betexplorer.com/soccer/australia/brisbane-premier-league/stats/
,,,,,,,
39%,NPL Western Australia 2019,Australia,28%,33%,18,114,https://www.betexplorer.com/soccer/australia/npl-western-australia/stats/
,,,,,,,
37%,NPL Victoria 2019,Australia,12%,51%,49,133,https://www.betexplorer.com/soccer/australia/npl-victoria/stats/
,,,,,,,
35%,Premier League 2018/2019,Armenia,28%,36%,96,48,https://www.betexplorer.com/soccer/armenia/premier-league/stats/
,,,,,,,
31%,King's Cup 2018/2019,Bahrain,31%,38%,29,0,https://www.betexplorer.com/soccer/bahrain/king-s-cup/stats/
,,,,,,,
37%,AFC Championship U23 2020,Asia,17%,46%,66,0,https://www.betexplorer.com/soccer/asia/afc-championship-u23/stats/
,,,,,,,
0%,Capital Territory 2019,Australia,0%,0%,0,72,https://www.betexplorer.com/soccer/australia/capital-territory/stats/
,,,,,,,
52%,NPL Queensland 2019,Australia,10%,39%,62,148,https://www.betexplorer.com/soccer/australia/npl-queensland/stats/
,,,,,,,
63%,NPL NSW 2019,Australia,21%,17%,24,108,https://www.betexplorer.com/soccer/australia/npl-nsw/stats/
,,,,,,,
36%,Premier League 2018/2019,Bahrain,21%,43%,70,8,https://www.betexplorer.com/soccer/bahrain/premier-league/stats/
,,,,,,,
50%,Northern NSW 2019,Australia,14%,36%,14,96,https://www.betexplorer.com/soccer/australia/northern-nsw/stats/
,,,,,,,
43%,NPL South Australian 2019,Australia,27%,30%,30,102,https://www.betexplorer.com/soccer/australia/npl-south-australian/stats/
,,,,,,,
47%,Bundesliga Women 2018/2019,Austria,7%,45%,55,35,https://www.betexplorer.com/soccer/austria/bundesliga-women/stats/
,,,,,,,
60%,OFB Cup 2018/2019,Austria,12%,28%,60,2,https://www.betexplorer.com/soccer/austria/ofb-cup/stats/
,,,,,,,
37%,Regionalliga West 2018/2019,Austria,15%,49%,150,90,https://www.betexplorer.com/soccer/austria/regionalliga-west/stats/
,,,,,,,
32%,Regionalliga Central 2018/2019,Austria,21%,47%,152,88,https://www.betexplorer.com/soccer/austria/regionalliga-central/stats/
,,,,,,,
35%,Regionalliga East 2018/2019,Austria,20%,45%,160,80,https://www.betexplorer.com/soccer/austria/regionalliga-east/stats/
,,,,,,,
34%,2. Liga 2018/2019,Austria,28%,39%,160,80,https://www.betexplorer.com/soccer/austria/2-liga/stats/
,,,,,,,
67%,Tipico Bundesliga 2018/2019,Austria,0%,33%,3,27,https://www.betexplorer.com/soccer/austria/tipico-bundesliga/stats/
,,,,,,,
32%,1st National Women 2018/2019,Belgium,15%,53%,152,30,https://www.betexplorer.com/soccer/belgium/1st-national-women/stats/
,,,,,,,
27%,Belgian Cup Women 2018/2019,Belgium,12%,61%,34,2,https://www.betexplorer.com/soccer/belgium/belgian-cup-women/stats/
,,,,,,,
40%,Super League Women 2018/2019,Belgium,18%,42%,60,0,https://www.betexplorer.com/soccer/belgium/super-league-women/stats/
,,,,,,,
36%,Second Amateur Division Group VFV B 2018/2019,Belgium,26%,39%,205,35,https://www.betexplorer.com/soccer/belgium/second-amateur-division-group-vfv-b/stats/
,,,,,,,
50%,Belgian Cup 2018/2019,Belgium,16%,34%,32,1,https://www.betexplorer.com/soccer/belgium/belgian-cup/stats/
,,,,,,,
35%,Second Amateur Division Group VFV A 2018/2019,Belgium,20%,45%,208,32,https://www.betexplorer.com/soccer/belgium/second-amateur-division-group-vfv-a/stats/
,,,,,,,
32%,Second Amateur Division Group ACFF 2018/2019,Belgium,24%,44%,208,32,https://www.betexplorer.com/soccer/belgium/second-amateur-division-group-acff/stats/
,,,,,,,
0%,Jupiler League 2018/2019,Belgium,0%,100%,4,26,https://www.betexplorer.com/soccer/belgium/jupiler-league/stats/
,,,,,,,
0%,Proximus League 2018/2019,Belgium,50%,50%,2,0,https://www.betexplorer.com/soccer/belgium/proximus-league/stats/
,,,,,,,
29%,First Amateur Division 2018/2019,Belgium,26%,45%,215,25,https://www.betexplorer.com/soccer/belgium/first-amateur-division/stats/
,,,,,,,
21%,Girabola 2018/2019,Angola,36%,42%,166,74,https://www.betexplorer.com/soccer/angola/girabola/stats/
,,,,,,,
28%,Copa Argentina 2019,Argentina,28%,44%,18,5,https://www.betexplorer.com/soccer/argentina/copa-argentina/stats/
,,,,,,,
38%,Torneos De Verano 2019,Argentina,13%,50%,8,0,https://www.betexplorer.com/soccer/argentina/torneos-de-verano/stats/
,,,,,,,
39%,Primera Divisió 2018/2019,Andorra,23%,39%,80,4,https://www.betexplorer.com/soccer/andorra/primera-divisio/stats/
,,,,,,,
25%,Andorra Cup 2018/2019,Andorra,25%,50%,8,2,https://www.betexplorer.com/soccer/andorra/andorra-cup/stats/
,,,,,,,
35%,Albanian Cup 2018/2019,Albania,13%,53%,57,1,https://www.betexplorer.com/soccer/albania/albanian-cup/stats/
,,,,,,,
27%,Algeria Cup 2018/2019,Algeria,30%,43%,64,0,https://www.betexplorer.com/soccer/algeria/algeria-cup/stats/
,,,,,,,
33%,First Division 2018/2019,Albania,17%,50%,12,28,https://www.betexplorer.com/soccer/albania/first-division/stats/
,,,,,,,
20%,Ligue 1 2018/2019,Algeria,34%,46%,188,52,https://www.betexplorer.com/soccer/algeria/ligue-1/stats/
,,,,,,,
12%,Ligue 2 2018/2019,Algeria,33%,56%,200,40,https://www.betexplorer.com/soccer/algeria/ligue-2/stats/
,,,,,,,
27%,Super League 2018/2019,Albania,26%,47%,140,40,https://www.betexplorer.com/soccer/albania/super-league/stats/
